qn,ans
don t worry . i m prepared for anything .,amen boy scout now answer the fucking door !
say hi to zoe .,i will .
they re going to kill us !,they can t shoot us in here .
dear heart where are you ?,at the hilton . the girls asleep ?
what s wrong ?,don t let them take me steve
suleiman !,keep going or i will !
elaine are you serious about this ?,i ll think about it .
no we re all right . thanks anyway tommy .,ok champ .
nothing . i just came in for a steam .,no you didn t .
i don t see anybody in there but you .,i would appreciate a little space . thank you .
the blue max . . .,the blue max . . .
i m feeling better .,are you ?
mr . gittes .,did he know ?
are you asking me ?,no i mean . . .
no .,you sure ?
some private up there lost three brothers got a ticket home .,what about the company ?
anybody know about this ?,i didn t even know about it .
i m retired .,what did you do ?
mary . what are you doing here ?,she came to help howard .
you fixed this suit ? beth ?,yes norman . i did . you re just nervous .
you d lie about anything .,well maybe we d better forget about it then .
i can t . i can t .,give it to me .
you cannot ! not for the queen herself !,what will you have me do ? marry you instead ?
think i could have them back ?,how do we do that ?
what ?,the truth .
the standard ten .,ten percent . of how much ?
we re not gonna be stationed anywhere baby . i dored .,you what ?
do you have a dime ? a quarter ?,no . there must be some in the desk somewhere .
i suggest you kids leave now .,don t worry i m gone .
you can call me sister .,. . . thank you .
thanks,give it back nicholas !
george ! george !,yes sir .
but . . .i . . . years ?,that s right now if you could . . .
that s a movie you moron .,fine go ahead . touch the letters .
why ?,because he s forced out at third ! it s a force !
he looks so young when was this taken ?,. the next face please .
you and me making love .,is that what you think i was thinking ?
and then my ears i understand . let s get on with it,wrong ! your ears you keep and i ll tell you why
i don t think she s such hot stuff .,when are we going out ? you and me ?
you sure about all this ?,i know him .
i m scared mama .,why honey ?
yeah i meet a lotta jerks too .,what i mean ?
they ll run you out .,no they won t .
yeah . with potential .,friends with potential .
you don t have any ! ! !,that s impossible . i ve got like five of em !
oh . . . no no no no uh uh . no .,well then w who was ?
i m sorry but . . . the stones . . .,they are . . . with me . . .
that s nonsense and you know it !,i know nothing of the sort !
look we ll do our trip as soon as i get back .,don t even start .
uh . . . sure tawny . . . what ?,you .
i taught you that .,i can play the piano ?
what ? on one hearing only ?,i think so sire yes .
i believe you .,you do ?
i can t,sure you can just
only we have to go to work .,i ll tell him . what is it ? is it a mine ?
but it s a different m .o .,then what do you need me for ?
there s somebody in the house jack . . .,wait for the back up ! will ?
don t give me a hard time mr . gordon . i m just,doing your fucking job . i know . i watch television too .
three . and add some basil .,d you think you and charley ll ever get back together again ?
i ll be in my quarters . execute course to the federation boundary .,yes my lord !
you said this afternoon that your husband was mixed up in something .,how do you shave in there ?
. . .yah okay . . .,look dad there is no fucking way
now you just lie here and have a nap . you re exhausted .,i don t want to . . .i have scary dreams .
their weapons missing ?,sid . is now armed .
you a preacher ?,that s right .
you still think this is about me don t you ?,sure it s about you . but it s about society too .
you don t know what you re talking about do you ?,sir ?
so what are you going to do about it ?,what do you want me to do ?
jesus that s beautiful .,thank you .
it s the only place i m happy .,me too . what s wrong with us ?
yeah well we all got our little problems today don t we ?,he has come to help mister burns . somehow i feel responsible .
ethan tell me more about this woman who s after you .,let s talk about us not her .
what do you want to change about this moment ?,nothing .
d .c . ? tammany hall ? he came there ?,sure thing .
because you know why . you know .,because your a virgin ?
where are the keys to the motor home ?,on the dresser .
if you wake first wake me up .,what are you going to do ?
you did ?,i . . .i don t know .
i don t know . i don t have it with me .,when did you have it last ?
yes he s fine too . you saw them at easter .,i m sorry mom . i ll call grandma back and apologize .
oh wade .,i ve been thinking about it that s all .
i don t like the sound of that .,we have to get out of here .
sit down .,thank you . i enjoyed the play very much .
like what ?,he gets to be the hero .
i used to play this piece back in high school .,let me guess . clarinet ?
sloan and i have been looking all over for you .,you d take no offense if we called you dela for short ?
oh shit ! well hang on !,gee thanks !
right ! where is he ?,who father ?
your excellency something terrible has just happened .,that s all right . i ll fix you right up .
i d be very surprised if our suspect was from brainerd .,yah .
this is mr . thatcher charles .,how do you do charles ?
what s that supposed to mean ?,what do you think ?
i m sorry inspector i don t know much about . .,recently then .
he hates me .,you hate him ?
what d you tell her ?,i told her you re doing a
no brett i . . .,it s all right . . . so have i .
yeah vick ?,i want to hear you say it .
you called me jeffrey .,i did . are you ?
sight seein .,what d ya see ?
what do you know about my nature ?,i m talking about your people not you .
charlie ?,i m doin business here !
i don t know . . . where is she then ?,maybe she s with josh ?
i m so sorry . i m a coward,i should have told you sooner
he said wynant tried to steal an invention .,yes . but we figured it was just blackmail . . .
then how come it worked loose ?,i have no idea .
why haven t you called ? why don t you answer your phone ?,i don t know . i m sorry . . .
everybody givin it away free huh ?,you gonna buy me a beer frankie ?
ow ! shit !,be quiet ! listen !
i just did . can you make them do tricks ?,they re not tricks . they re behavior patterns .
it doesn t ring a bell . i have to go .,okay . i ll keep digging .
it s early .,i told everyone seven fifteen . didn t i ? seven fifteen .
fortunately my needs are met in that department .,so what you just like the sound of your own voice ?
no !,go up the stairs judy . i ll follow .
there s still time to undo this .,we ll be fine .
no we ain t got no kirin . we got miller .,genuine draft ?
did you see the van back there ?,what van ?
you re really never going to make love again ?,i m not planning on it .
we ll lose them if they go in there .,rake her .
just a few bucks .,and myra s stuff ?
you know what i want .,maybe i just want to hear you say it .
to my health .,kiss me .
father i have tried have i not ?,you have my son .
i don t mean to cry i m sorry .,it s okay stanley . it s alright .
what are you talking about ?,we had him .
you ordered all members of the royal family to attend you at balmoral .,what is the matter with him ?
sir ?,you re wanted at the c .o . s .
then open the doors !,thirty seconds .
are you sure ?,pretty sure .
